,ids,growth,status,growth_ratio,class
0,{'LDH_D'},0.8739215069684322,optimal,1.0000000000000049,non-essential
1,{'THD2'},0.8739215069684307,optimal,1.0000000000000033,non-essential
2,{'PFL'},0.8739215069684279,optimal,1.0,non-essential
3,{'AKGDH'},0.8583074080226881,optimal,0.9821332936410915,non-essential
4,{'PPC'},0.8707448062160248,optimal,0.9963650044917388,non-essential
5,{'EX_h2o_e'},0.38351544929678144,optimal,0.438844274043752,strongly-essential
6,{'FBP'},0.8739215069684279,optimal,1.0,non-essential
7,{'EX_co2_e'},0.4616696141601349,optimal,0.5282735468562094,partially-essential
8,{'ACONTb'},0.0,optimal,0.0,lethal
9,{'FRUpts2'},0.8739215069684232,optimal,0.9999999999999947,non-essential
10,{'GND'},0.8638133095039997,optimal,0.9884335179031206,non-essential
11,{'FRD7'},0.8739215069684307,optimal,1.0000000000000033,non-essential
12,{'TALA'},0.8647591548314792,optimal,0.98951581799522,non-essential
13,{'EX_ac_e'},0.8739215069684306,optimal,1.000000000000003,non-essential
14,{'ENO'},0.0,optimal,0.0,lethal
15,{'EX_o2_e'},0.21166294973530922,optimal,0.24219903967068288,strongly-essential
16,{'FUMt2_2'},0.8739215069684279,optimal,1.0,non-essential
17,{'GLUt2r'},0.8739215069684305,optimal,1.000000000000003,non-essential
18,{'ACONTa'},-5.567065524108516e-15,optimal,-6.370212289911796e-15,lethal
19,{'CS'},-3.6927566298143634e-16,optimal,-4.2255014899727965e-16,lethal
20,{'ACt2r'},0.8739215069684305,optimal,1.000000000000003,non-essential
21,{'GLUDy'},0.851388523346209,optimal,0.9742162385951751,non-essential
22,{'SUCCt3'},0.8739215069684279,optimal,1.0,non-essential
23,{'ICDHyr'},-3.743396437539173e-15,optimal,-4.283446977434794e-15,lethal
24,{'ATPS4r'},0.3742298749331101,optimal,0.42821909284655,strongly-essential
25,{'ME2'},0.8739215069684306,optimal,1.000000000000003,non-essential
26,{'FBA'},0.7040369478590252,optimal,0.8056066159777664,partially-essential
27,{'SUCCt2_2'},0.8739215069684305,optimal,1.000000000000003,non-essential
28,{'PPCK'},0.8739215069684279,optimal,1.0,non-essential
29,{'GLUSy'},0.8739215069684305,optimal,1.000000000000003,non-essential
30,{'TKT2'},0.8666740848328226,optimal,0.9917070102087931,non-essential
31,{'EX_for_e'},0.873921506968431,optimal,1.0000000000000036,non-essential
32,{'MALS'},0.8739215069684279,optimal,1.0,non-essential
33,{'NH4t'},-2.023457533804958e-16,optimal,-2.315376744559348e-16,lethal
34,{'PDH'},0.7966959254309525,optimal,0.9116332749317894,partially-essential
35,{'PYRt2'},0.8739215069684306,optimal,1.000000000000003,non-essential
36,{'RPE'},0.8657155608953035,optimal,0.9906102023949609,non-essential
37,{'D_LACt2'},0.8739215069684305,optimal,1.000000000000003,non-essential
38,{'RPI'},0.0,optimal,0.0,lethal
39,{'ACALD'},0.8739215069684328,optimal,1.0000000000000058,non-essential
40,{'GLNabc'},0.8739215069684279,optimal,1.0,non-essential
41,{'MALt2_2'},0.8739215069684305,optimal,1.000000000000003,non-essential
42,{'EX_mal__L_e'},0.8739215069684279,optimal,1.0,non-essential
43,{'AKGt2r'},0.8739215069684305,optimal,1.000000000000003,non-essential
44,{'ACALDt'},0.8739215069684311,optimal,1.0000000000000038,non-essential
45,{'EX_nh4_e'},6.744858446016528e-17,optimal,7.717922481864494e-17,lethal
46,{'EX_pyr_e'},0.8739215069684286,optimal,1.0000000000000009,non-essential
47,{'CYTBD'},0.2116629497353105,optimal,0.24219903967068435,strongly-essential
48,{'EX_lac__D_e'},0.8739215069684279,optimal,1.0,non-essential
49,{'SUCDi'},0.8142975075325314,optimal,0.9317741937228117,partially-essential
50,{'EX_etoh_e'},0.8739215069684307,optimal,1.0000000000000033,non-essential
51,{'FORti'},0.8739215069684305,optimal,1.000000000000003,non-essential
52,{'SUCOAS'},0.858307408022689,optimal,0.9821332936410925,non-essential
53,{'ATPM'},0.916647463751049,optimal,1.0488899248295587,non-essential
54,{'EX_akg_e'},0.8739215069684287,optimal,1.000000000000001,non-essential
55,{'PYK'},0.8649260179498692,optimal,0.9897067540427477,non-essential
56,{'PFK'},0.7040369478590252,optimal,0.8056066159777664,partially-essential
57,{'GLUN'},0.8739215069684306,optimal,1.000000000000003,non-essential
58,{'MDH'},0.8258192905969891,optimal,0.9449581959158987,partially-essential
59,{'EX_h_e'},-2.429031729715036e-16,optimal,-2.7794621259993655e-16,lethal
60,{'EX_glu__L_e'},0.8739215069684279,optimal,1.0,non-essential
61,{'FORt2'},0.8739215069684305,optimal,1.000000000000003,non-essential
62,{'Biomass_Ecoli_core'},0.0,optimal,0.0,lethal
63,{'NADH16'},0.21166294973530697,optimal,0.2421990396706803,strongly-essential
64,{'TKT1'},0.8647591548314792,optimal,0.98951581799522,non-essential
65,{'EX_fum_e'},0.8739215069684307,optimal,1.0000000000000033,non-essential
66,{'EX_succ_e'},0.8739215069684279,optimal,1.0,non-essential
67,{'PGI'},0.8631595522084181,optimal,0.9876854446604224,non-essential
68,{'PGM'},0.0,optimal,0.0,lethal
69,{'ACKr'},0.8739215069684286,optimal,1.0000000000000009,non-essential
70,{'ICL'},0.8739215069684279,optimal,1.0,non-essential
71,{'GLNS'},-6.744858446016528e-17,optimal,-7.717922481864494e-17,lethal
72,{'FUM'},0.8142975075325307,optimal,0.9317741937228109,partially-essential
73,{'PGK'},-2.567316906544118e-16,optimal,-2.9376973630617694e-16,lethal
74,{'PPS'},0.8739215069684279,optimal,1.0,non-essential
75,{'GAPD'},4.960407792924738e-16,optimal,5.676033549205172e-16,lethal
76,{'H2Ot'},0.3835154492967838,optimal,0.43884427404375465,strongly-essential
77,{'EX_gln__L_e'},0.8739215069684307,optimal,1.0000000000000033,non-essential
78,{'PGL'},0.8638133095040028,optimal,0.9884335179031242,non-essential
79,{'EX_pi_e'},-4.598942039505192e-15,optimal,-5.2624200260943315e-15,lethal
80,{'ME1'},0.8739215069684303,optimal,1.0000000000000029,non-essential
81,{'TPI'},0.7040369478590248,optimal,0.8056066159777661,partially-essential
82,{'ETOHt2r'},0.8739215069684279,optimal,1.0,non-essential
83,{'CO2t'},0.4616696141601349,optimal,0.5282735468562094,partially-essential
84,{'PTAr'},0.8739215069684305,optimal,1.000000000000003,non-essential
85,{'ALCD2x'},0.8739215069684279,optimal,1.0,non-essential
86,{'PIt2r'},-1.4366548490015188e-14,optimal,-1.6439174886371356e-14,lethal
87,{'G6PDH2r'},0.8638133095040051,optimal,0.9884335179031268,non-essential
88,{'EX_fru_e'},0.8739215069684311,optimal,1.0000000000000038,non-essential
89,{'NADTRHD'},0.8739215069684291,optimal,1.0000000000000013,non-essential
90,{'O2t'},0.2116629497353101,optimal,0.2421990396706839,strongly-essential
91,{'EX_acald_e'},0.8739215069684279,optimal,1.0,non-essential
92,{'GLCpts'},,infeasible,,infeasible
93,{'EX_glc__D_e'},,infeasible,,infeasible
94,{'ADK1'},0.8739215069684303,optimal,1.0000000000000029,non-essential
