ids,growth,status,gene_id,growth_ratio,essentiality_class
{'b2029'},0.863813309504001,optimal,0,0.9884335179031222,non_essential
{'b2458'},0.8739215069684311,optimal,1,1.0000000000000038,non_essential
{'b4077'},0.8739215069684305,optimal,2,1.000000000000003,non_essential
{'b0767'},0.863813309504001,optimal,3,0.9884335179031222,non_essential
{'b2297'},0.8739215069684311,optimal,4,1.0000000000000038,non_essential
{'b2097'},0.8739215069684305,optimal,5,1.000000000000003,non_essential
{'b2975'},0.8739215069684305,optimal,6,1.000000000000003,non_essential
{'b4301'},0.8739215069684305,optimal,7,1.000000000000003,non_essential
{'b3952'},0.8739215069684305,optimal,8,1.000000000000003,non_essential
{'b2133'},0.8739215069684305,optimal,9,1.000000000000003,non_essential
{'b0875'},0.8739215069684305,optimal,10,1.000000000000003,non_essential
{'b3870'},0.8739215069684305,optimal,11,1.000000000000003,non_essential
{'b2288'},0.21166294973531022,optimal,12,0.242199039670684,partially_essential
{'b4151'},0.873921506968431,optimal,13,1.0000000000000036,non_essential
{'b1479'},0.8739215069684305,optimal,14,1.000000000000003,non_essential
{'b1380'},0.8739215069684305,optimal,15,1.000000000000003,non_essential
{'b0116'},0.7823510529477397,optimal,16,0.895218903196078,non_essential
{'b1603'},0.8739215069684306,optimal,17,1.000000000000003,non_essential
{'b0734'},0.8739215069684305,optimal,18,1.000000000000003,non_essential
{'b4395'},0.8739215069684305,optimal,19,1.000000000000003,non_essential
{'b0351'},0.8739215069684305,optimal,20,1.000000000000003,non_essential
{'b4015'},0.8739215069684305,optimal,21,1.000000000000003,non_essential
{'b3919'},0.7040369478590248,optimal,22,0.8056066159777661,non_essential
{'b3612'},0.8739215069684307,optimal,23,1.0000000000000033,non_essential
{'b2296'},0.8739215069684305,optimal,24,1.000000000000003,non_essential
{'b3528'},0.8739215069684305,optimal,25,1.000000000000003,non_essential
{'b2278'},0.21166294973531022,optimal,26,0.242199039670684,partially_essential
{'b3731'},0.3742298749331099,optimal,27,0.42821909284654974,partially_essential
{'s0001'},0.21114065257211656,optimal,28,0.24160139198833613,partially_essential
{'b1819'},0.8739215069684306,optimal,29,1.000000000000003,non_essential
{'b0903'},0.8739215069684305,optimal,30,1.000000000000003,non_essential
{'b0729'},0.8583074080226898,optimal,31,0.9821332936410934,non_essential
{'b2587'},0.8739215069684305,optimal,32,1.000000000000003,non_essential
{'b1817'},0.8739215069684305,optimal,33,1.000000000000003,non_essential
{'b2287'},0.21166294973531022,optimal,34,0.242199039670684,partially_essential
{'b1611'},0.873921506968431,optimal,35,1.0000000000000036,non_essential
{'b1612'},0.8739215069684305,optimal,36,1.000000000000003,non_essential
{'b1524'},0.8739215069684305,optimal,37,1.000000000000003,non_essential
{'b0720'},-5.395886756813222e-16,optimal,38,-6.174337985491595e-16,essential
{'b0485'},0.8739215069684305,optimal,39,1.000000000000003,non_essential
{'b0722'},0.8142975075325314,optimal,40,0.9317741937228117,non_essential
{'b2464'},0.8739215069684294,optimal,41,1.0000000000000018,non_essential
{'b3738'},0.3742298749331099,optimal,42,0.42821909284654974,partially_essential
{'b1854'},0.8739215069684303,optimal,43,1.0000000000000029,non_essential
{'b0118'},0.8739215069684305,optimal,44,1.000000000000003,non_essential
{'b2416'},,infeasible,45,,unknown
{'b0721'},0.8142975075325293,optimal,46,0.9317741937228092,non_essential
{'b4232'},0.8739215069684294,optimal,47,1.0000000000000018,non_essential
{'b2417'},0.8739215069684305,optimal,48,1.000000000000003,non_essential
{'b2463'},0.8739215069684305,optimal,49,1.000000000000003,non_essential
{'b3925'},0.8739215069684305,optimal,50,1.000000000000003,non_essential
{'b3733'},0.3742298749331099,optimal,51,0.42821909284654974,partially_essential
{'b3735'},0.3742298749331097,optimal,52,0.4282190928465496,partially_essential
{'b3956'},0.8707448062160257,optimal,53,0.9963650044917398,non_essential
{'b2285'},0.21166294973531022,optimal,54,0.242199039670684,partially_essential
{'b2415'},,infeasible,55,,unknown
{'b3493'},0.87392150696843,optimal,56,1.0000000000000024,non_essential
{'b2987'},0.8739215069684305,optimal,57,1.000000000000003,non_essential
{'b1297'},0.8739215069684305,optimal,58,1.000000000000003,non_essential
{'b0809'},0.8739215069684305,optimal,59,1.000000000000003,non_essential
{'b3732'},0.3742298749331099,optimal,60,0.42821909284654974,partially_essential
{'b0978'},0.8739215069684303,optimal,61,1.0000000000000029,non_essential
{'b0474'},0.8739215069684305,optimal,62,1.000000000000003,non_essential
{'b0810'},0.8739215069684305,optimal,63,1.000000000000003,non_essential
{'b1779'},4.960407792924738e-16,optimal,64,5.676033549205172e-16,essential
{'b0979'},0.8739215069684303,optimal,65,1.0000000000000029,non_essential
{'b0902'},0.8739215069684305,optimal,66,1.000000000000003,non_essential
{'b0904'},0.8739215069684305,optimal,67,1.000000000000003,non_essential
{'b0727'},0.8583074080226881,optimal,68,0.9821332936410915,non_essential
{'b2276'},0.21166294973531022,optimal,69,0.242199039670684,partially_essential
{'b3114'},0.873921506968431,optimal,70,1.0000000000000036,non_essential
{'b3737'},0.37422987493311033,optimal,71,0.42821909284655024,partially_essential
{'b2279'},0.21166294973531022,optimal,72,0.242199039670684,partially_essential
{'b4025'},0.8631595522084176,optimal,73,0.9876854446604217,non_essential
{'b1702'},0.8739215069684305,optimal,74,1.000000000000003,non_essential
{'b1849'},0.8739215069684305,optimal,75,1.000000000000003,non_essential
{'b3739'},0.8739215069684305,optimal,76,1.000000000000003,non_essential
{'b3386'},0.8739215069684305,optimal,77,1.000000000000003,non_essential
{'b3951'},0.8739215069684305,optimal,78,1.000000000000003,non_essential
{'b2976'},0.8739215069684305,optimal,79,1.000000000000003,non_essential
{'b2280'},0.21166294973531022,optimal,80,0.242199039670684,partially_essential
{'b2281'},0.21166294973531022,optimal,81,0.242199039670684,partially_essential
{'b3236'},0.8258192905969897,optimal,82,0.9449581959158994,non_essential
{'b2492'},0.8739215069684306,optimal,83,1.000000000000003,non_essential
{'b2286'},0.21166294973531022,optimal,84,0.242199039670684,partially_essential
{'b0356'},0.873921506968431,optimal,85,1.0000000000000036,non_essential
{'b3736'},0.37422987493311033,optimal,86,0.42821909284655024,partially_essential
{'b0755'},0.8739215069684305,optimal,87,1.000000000000003,non_essential
{'b3916'},0.8739215069684305,optimal,88,1.000000000000003,non_essential
{'b0723'},0.8142975075325314,optimal,89,0.9317741937228117,non_essential
{'b4152'},0.8739215069684305,optimal,90,1.000000000000003,non_essential
{'b1621'},0.8739215069684305,optimal,91,1.000000000000003,non_essential
{'b0726'},0.8583074080226881,optimal,92,0.9821332936410915,non_essential
{'b1818'},0.8739215069684305,optimal,93,1.000000000000003,non_essential
{'b0733'},0.8739215069684305,optimal,94,1.000000000000003,non_essential
{'b0811'},0.8739215069684305,optimal,95,1.000000000000003,non_essential
{'b2926'},1.0525207219950656e-15,optimal,96,1.2043652817816393e-15,essential
{'b1812'},0.873921506968429,optimal,97,1.0000000000000013,non_essential
{'b3603'},0.8739215069684305,optimal,98,1.000000000000003,non_essential
{'b1241'},0.8739215069684305,optimal,99,1.000000000000003,non_essential
{'b4154'},0.8739215069684305,optimal,100,1.000000000000003,non_essential
{'b4122'},0.8739215069684305,optimal,101,1.000000000000003,non_essential
{'b2465'},0.8739215069684305,optimal,102,1.000000000000003,non_essential
{'b2283'},0.21166294973531022,optimal,103,0.242199039670684,partially_essential
{'b2282'},0.21166294973531022,optimal,104,0.242199039670684,partially_essential
{'b2579'},0.873921506968431,optimal,105,1.0000000000000036,non_essential
{'b3213'},0.8739215069684305,optimal,106,1.000000000000003,non_essential
{'b1723'},0.8739215069684305,optimal,107,1.000000000000003,non_essential
{'b2779'},1.5208622319983277e-15,optimal,108,1.7402732623826729e-15,essential
{'b3403'},0.8739215069684287,optimal,109,1.000000000000001,non_essential
{'b2935'},0.8739215069684305,optimal,110,1.000000000000003,non_essential
{'b1478'},0.8739215069684305,optimal,111,1.000000000000003,non_essential
{'b4153'},0.8739215069684305,optimal,112,1.000000000000003,non_essential
{'b1136'},-3.743396437539173e-15,optimal,113,-4.283446977434794e-15,essential
{'b2914'},0.8739215069684306,optimal,114,1.000000000000003,non_essential
{'b3962'},0.8739215069684305,optimal,115,1.000000000000003,non_essential
{'b1761'},0.851388523346209,optimal,116,0.9742162385951751,non_essential
{'b0114'},0.7966959254309571,optimal,117,0.9116332749317947,non_essential
{'b1276'},0.8739215069684306,optimal,118,1.000000000000003,non_essential
{'b1602'},0.8739215069684305,optimal,119,1.000000000000003,non_essential
{'b3212'},0.8739215069684305,optimal,120,1.000000000000003,non_essential
{'b3115'},0.8739215069684305,optimal,121,1.000000000000003,non_essential
{'b1676'},0.8739215069684305,optimal,122,1.000000000000003,non_essential
{'b1773'},0.8739215069684305,optimal,123,1.000000000000003,non_essential
{'b0724'},0.8142975075325314,optimal,124,0.9317741937228117,non_essential
{'b4090'},0.8739215069684305,optimal,125,1.000000000000003,non_essential
{'b2925'},0.8739215069684305,optimal,126,1.000000000000003,non_essential
{'b0728'},0.8583074080226898,optimal,127,0.9821332936410934,non_essential
{'b0115'},0.7966959254309569,optimal,128,0.9116332749317945,non_essential
{'b0451'},0.8739215069684306,optimal,129,1.000000000000003,non_essential
{'b4014'},0.8739215069684305,optimal,130,1.000000000000003,non_essential
{'b2277'},0.21166294973531022,optimal,131,0.242199039670684,partially_essential
{'b0008'},0.873921506968431,optimal,132,1.0000000000000036,non_essential
{'b3734'},0.37422987493311033,optimal,133,0.42821909284655024,partially_essential
{'b2284'},0.21166294973531022,optimal,134,0.242199039670684,partially_essential
{'b1101'},0.873921506968431,optimal,135,1.0000000000000036,non_essential
{'b1852'},0.863813309504001,optimal,136,0.9884335179031222,non_essential
